| Project   | Id      | Compiled | Equivalent | # wb ok | # wb ko | # bb ok | # bb ko | # ok | # ko |
| digits    | a0e 003 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| syllables | b6f 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | b6f 000 | -        | False      |       5 |       5 |       5 |       1 |   10 |    6 |
| digits    | 0cd 008 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | af8 000 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| grade     | 0cd 003 | -        | False      |       2 |       7 |       2 |       7 |    4 |   14 |
| grade     | 953 018 | -        | False      |       1 |       8 |       1 |       8 |    2 |   16 |
| grade     | 953 015 | -        | False      |       1 |       8 |       1 |       8 |    2 |   16 |
| grade     | 953 014 | -        | False      |       1 |       8 |       1 |       8 |    2 |   16 |
| syllables | 36d 003 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| grade     | 953 010 | -        | False      |       1 |       8 |       1 |       8 |    2 |   16 |
| grade     | 387 000 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| grade     | 1b3 003 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | 908 018 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | cb2 001 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| median    | cd2 010 | -        | False      |       5 |       1 |       7 |       0 |   12 |    1 |
| smallest  | 3cf 003 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | 070 002 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 070 000 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| smallest  | 3b2 004 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 070 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 90a 000 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| smallest  | 3b2 008 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| checksum  | cb2 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | cb2 006 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| smallest  | 3b2 003 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| smallest  | 269 000 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | d8b 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | d8b 000 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| grade     | 1c2 016 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | 321 000 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 321 003 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| grade     | cd2 021 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | 883 006 | -        | False      |       5 |       3 |       7 |       1 |   12 |    4 |
| smallest  | 883 007 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| smallest  | 883 002 | -        | False      |       6 |       2 |       8 |       0 |   14 |    2 |
| smallest  | 883 003 | -        | False      |       6 |       2 |       8 |       0 |   14 |    2 |
| syllables | 38e 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 93f 015 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| median    | 9c9 013 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| syllables | 38e 003 | -        | False      |       5 |       5 |       5 |       1 |   10 |    6 |
| grade     | 89b 003 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | 93f 010 | -        | False      |       3 |       3 |       5 |       2 |    8 |    5 |
| median    | 93f 012 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| grade     | d8b 006 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | 070 000 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| median    | aac 003 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| smallest  | 818 005 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| smallest  | 769 009 | -        | False      |       6 |       2 |       8 |       0 |   14 |    2 |
| smallest  | d25 000 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| smallest  | 818 003 | -        | False      |       8 |       0 |       4 |       4 |   12 |    4 |
| syllables | 824 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 769 003 | -        | False      |       5 |       3 |       7 |       1 |   12 |    4 |
| smallest  | 769 002 | -        | False      |       5 |       3 |       7 |       1 |   12 |    4 |
| smallest  | 846 007 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| checksum  | 3cf 002 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| smallest  | 769 007 | -        | False      |       6 |       2 |       8 |       0 |   14 |    2 |
| smallest  | 769 004 | -        | False      |       8 |       0 |       3 |       5 |   11 |    5 |
| digits    | 8cd 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | 300 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | 8cd 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 8cd 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | bfa 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 070 002 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 68e 001 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 3cf 010 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| smallest  | 139 003 | -        | False      |       8 |       0 |       6 |       2 |   14 |    2 |
| smallest  | 346 010 | -        | False      |       8 |       0 |       7 |       1 |   15 |    1 |
| median    | 68e 011 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | 0cd 003 | -        | False      |       6 |       0 |       5 |       2 |   11 |    2 |
| digits    | 89b 004 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | 883 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | e23 002 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | e23 001 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| syllables | 883 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | e23 004 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| digits    | 89b 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | 7b7 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | d12 000 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| digits    | d12 001 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | d2b 003 | -        | False      |       4 |       6 |       4 |       2 |    8 |    8 |
| smallest  | e9c 000 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | d2b 001 | -        | False      |       4 |       6 |       4 |       2 |    8 |    8 |
| digits    | d2b 000 | -        | False      |       4 |       6 |       4 |       2 |    8 |    8 |
| digits    | d2b 006 | -        | False      |       6 |       4 |       5 |       1 |   11 |    5 |
| digits    | d2b 005 | -        | False      |       5 |       5 |       5 |       1 |   10 |    6 |
| digits    | d2b 004 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| digits    | 300 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 300 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | af8 011 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| smallest  | ded 000 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| median    | 070 000 | -        | False      |       4 |       2 |       5 |       2 |    9 |    4 |
| grade     | fe9 003 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| grade     | fe9 004 | -        | False      |       2 |       7 |       2 |       7 |    4 |   14 |
| syllables | 98d 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | 5b5 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| syllables | 7b7 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | f5b 000 | -        | False      |       4 |       5 |       4 |       5 |    8 |   10 |
| checksum  | 75c 005 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 75c 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | cd2 017 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | dc1 004 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| syllables | b19 003 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| grade     | dc1 000 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| syllables | cd2 011 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | dde 008 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | dde 009 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | dde 006 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | dde 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 1c2 000 | -        | False      |       2 |       4 |       0 |       7 |    2 |   11 |
| checksum  | 1b3 004 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 92b 002 | -        | False      |       1 |       8 |       1 |       8 |    2 |   16 |
| grade     | 92b 007 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| smallest  | 6aa 002 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| smallest  | 6aa 001 | -        | False      |       8 |       0 |       5 |       3 |   13 |    3 |
| smallest  | 6aa 000 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| grade     | 1c2 003 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | fe9 008 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| digits    | 08c 001 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | 08c 000 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| median    | fe9 002 | -        | False      |       4 |       2 |       5 |       2 |    9 |    4 |
| median    | fe9 000 | -        | False      |       4 |       2 |       5 |       2 |    9 |    4 |
| syllables | 97f 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 97f 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 953 018 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| grade     | 6e4 004 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | 6e4 000 | -        | False      |       3 |       6 |       3 |       6 |    6 |   12 |
| grade     | 9c9 013 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| median    | 908 018 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| smallest  | 36d 003 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| syllables | ca5 005 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 908 010 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| syllables | ca5 003 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| median    | 908 015 | -        | False      |       3 |       3 |       3 |       4 |    6 |    7 |
| grade     | c9d 001 | -        | False      |       6 |       3 |       6 |       3 |   12 |    6 |
| grade     | c9d 000 | -        | False      |       6 |       3 |       6 |       3 |   12 |    6 |
| grade     | c9d 003 | -        | False      |       6 |       3 |       6 |       3 |   12 |    6 |
| grade     | c9d 002 | -        | False      |       6 |       3 |       6 |       3 |   12 |    6 |
| grade     | c9d 004 | -        | False      |       6 |       3 |       6 |       3 |   12 |    6 |
| digits    | d43 000 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | d43 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | 833 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | 98d 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 833 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| median    | 6e4 003 | -        | False      |       5 |       1 |       7 |       0 |   12 |    1 |
| smallest  | 346 003 | -        | False      |       2 |       6 |       5 |       3 |    7 |    9 |
| smallest  | 346 002 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| smallest  | 346 005 | -        | False      |       8 |       0 |       7 |       1 |   15 |    1 |
| grade     | 300 004 | -        | False      |       0 |       9 |       0 |       9 |    0 |   18 |
| smallest  | d00 001 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | 8ce 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 8ce 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | a0e 012 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | a0e 010 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| checksum  | d43 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| checksum  | d43 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 908 013 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | 593 000 | -        | False      |       0 |       6 |       0 |       7 |    0 |   13 |
| grade     | 908 010 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| median    | 593 007 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| checksum  | ca9 006 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| smallest  | 953 009 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| grade     | ca9 005 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| checksum  | 300 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 317 007 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | 317 002 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| median    | 317 003 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| median    | 317 000 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| grade     | fe9 008 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | bfa 011 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | cd2 009 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | d5c 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | cd2 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| checksum  | d5c 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | cd2 003 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| smallest  | 68e 000 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| checksum  | d5c 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 1b3 003 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| grade     | 908 009 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| smallest  | a0e 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | d63 000 | -        | False      |       2 |       8 |       5 |       1 |    7 |    9 |
| grade     | f5b 013 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| grade     | f5b 010 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| median    | 1b3 003 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | 1b3 000 | -        | False      |       3 |       3 |       6 |       1 |    9 |    4 |
| syllables | d12 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | d12 004 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | cd2 010 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | cd2 013 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| syllables | fe9 000 | -        | False      |       3 |       7 |       1 |       5 |    4 |   12 |
| digits    | af8 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 9c9 003 | -        | False      |       5 |       1 |       6 |       1 |   11 |    2 |
| median    | 0cd 010 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | d63 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | d63 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | dcc 001 | -        | False      |       7 |       2 |       7 |       2 |   14 |    4 |
| grade     | ee1 000 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| grade     | 953 013 | -        | False      |       1 |       8 |       1 |       8 |    2 |   16 |
| digits    | 48b 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| digits    | 48b 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| median    | 98d 008 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| digits    | d25 010 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 98d 000 | -        | False      |       6 |       0 |       6 |       1 |   12 |    1 |
| digits    | 6e4 003 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| digits    | 6e4 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 6e4 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| grade     | ee1 008 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | 6e4 004 | -        | False      |       1 |       9 |       1 |       5 |    2 |   14 |
| smallest  | 818 002 | -        | False      |       2 |       6 |       2 |       6 |    4 |   12 |
| checksum  | 08c 011 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| checksum  | 08c 010 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| checksum  | 08c 015 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | 93f 007 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 5a5 004 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| median    | 48b 001 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| median    | 48b 000 | -        | False      |       3 |       3 |       4 |       3 |    7 |    6 |
| grade     | aac 003 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| smallest  | 5a5 000 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| digits    | 387 002 | -        | False      |       6 |       4 |       5 |       1 |   11 |    5 |
| digits    | 387 000 | -        | False      |       4 |       6 |       5 |       1 |    9 |    7 |
| syllables | 295 000 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 9c9 007 | -        | False      |       5 |       1 |       6 |       1 |   11 |    2 |
| grade     | 93f 015 | -        | False      |       8 |       1 |       8 |       1 |   16 |    2 |
| syllables | d9e 001 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| median    | 300 015 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| smallest  | 953 011 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| smallest  | 48b 000 | -        | False      |       0 |       8 |       0 |       8 |    0 |   16 |
| grade     | 531 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 531 001 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 531 002 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 1c2 006 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 1c2 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 75c 003 | -        | False      |       9 |       0 |       1 |       8 |   10 |    8 |
| digits    | 1c2 003 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 883 003 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 1c2 000 | -        | False      |      10 |       0 |       5 |       1 |   15 |    1 |
| grade     | 75c 009 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| digits    | 1c2 009 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 98d 005 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | 98d 004 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | 98d 003 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 98d 001 | -        | False      |       9 |       1 |       5 |       1 |   14 |    2 |
| digits    | 98d 000 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| digits    | af8 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | cb2 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 346 015 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| digits    | e9c 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| digits    | e9c 001 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | cd2 005 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | cd2 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | cd2 002 | -        | False      |       0 |      10 |       0 |       6 |    0 |   16 |
| digits    | 5b5 002 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| smallest  | 908 005 | -        | False      |       2 |       6 |       6 |       2 |    8 |    8 |
| digits    | 5b5 000 | -        | False      |       9 |       1 |       6 |       0 |   15 |    1 |
| median    | 1c2 016 | -        | False      |       6 |       0 |       7 |       0 |   13 |    0 |
| syllables | d50 000 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| grade     | 8ce 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 8ce 002 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| grade     | 97f 008 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| median    | 3b2 003 | -        | False      |       4 |       2 |       5 |       2 |    9 |    4 |
| digits    | 08c 015 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| median    | 3b2 006 | -        | False      |       5 |       1 |       6 |       1 |   11 |    2 |
| smallest  | 769 010 | -        | False      |       5 |       3 |       7 |       1 |   12 |    4 |
| smallest  | 769 011 | -        | False      |       8 |       0 |       8 |       0 |   16 |    0 |
| checksum  | 321 003 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | f8d 003 | -        | False      |      10 |       0 |       6 |       0 |   16 |    0 |
| syllables | f8d 002 | -        | False      |       3 |       7 |       2 |       4 |    5 |   11 |
| grade     | 070 010 | -        | False      |       9 |       0 |       9 |       0 |   18 |    0 |
| syllables | 99c 003 | -        | False      |       5 |       5 |       3 |       3 |    8 |    8 |
| digits    | f5b 007 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| digits    | f5b 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| smallest  | 48b 001 | -        | False      |       6 |       2 |       7 |       1 |   13 |    3 |
| syllables | e9c 000 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
| syllables | e9c 001 | False    | False      |       0 |       0 |       0 |       0 |    0 |    0 |
